Descrizione,Latitudine,Longitudine,Indirizzo,Posti,Accessibilità,Distanza in linea d'aria,Lunghezza del percorso,Dislivello
Park 1 - Largo Cairoli,44.14568,12.1338,"Largo Cairoli 6, Bertinoro, FC",50,🦽✅,383 m,550 m,30 m
Park 2 - Via del Soccorso,44.14785,12.1323,"Via del Soccorso 6, Bertinoro, FC",25,🦽✅,171 m,350 m,21 m
Park 3 - Rocca,44.14764,12.13268,"Via Aldruda Frangipane 6, Bertinoro, FC",25,🦽✅,176 m,360 m,29 m
Park 4 - Via dei Santi,44.15013,12.13201,"Via dei Santi 1, Bertinoro, FC",25,🦽✅,165 m,198 m,20 m
Park 5 - Badia,44.15115,12.1339,"Via Badia 150, Bertinoro, FC",50,🦽✅,217 m,613 m,78 m
Park - Via Oberdan,44.14933,12.13281,"Via Guglielmo Oberdan 6, Bertinoro, FC",10,🦽✅,63 m,69 m,0 m
Park - Via Mainardi,44.1496,12.13286,"Via Arrigo Mainardi 6, Bertinoro, FC",1,🦽✅,73 m,77 m,10 m
Park Municipio,44.14917,12.13364,"Piazza Libertà 1, Bertinoro, FC",5,🦽✅,10 m,10 m,0 m
Park Scuole,44.14698,12.13643,"Via Salvador Allende, Bertinoro, FC",25,🦽✅,333 m,774 m,54 m
Park Fratta Terme,44.1428,12.10031,"Via Loreta 6, Bertinoro, FC",50,🦽✅,2700 m,6000 m,196 m
Park Agriturismo Al Colle,44.15858,12.18457,"Vicinale Monticino, 1435, Bertinoro, FC",50,🦽✅,4500 m,7500 m,150 m
